幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,"遠期180天",
USD,本行買入,32.36500,32.71500,32.69200,32.63000,32.53200,32.45300,32.36300,32.27300,32.19000,本行賣出,33.03500,32.81500,32.79800,32.74600,32.66200,32.59000,32.51100,32.43500,32.36500,""
HKD,本行買入,4.05800,4.18400,4.18100,4.17500,4.16600,4.15900,4.15000,4.14100,4.13200,本行賣出,4.26200,4.24400,4.24200,4.23800,4.22900,4.22200,4.21400,4.20600,4.19900,""
GBP,本行買入,40.15000,41.16000,41.11800,41.03500,40.91900,40.81900,40.71100,40.60300,40.49500,本行賣出,42.27000,41.56000,41.53400,41.48200,41.36400,41.26700,41.17200,41.07600,40.98000,""
AUD,本行買入,20.45000,20.74000,20.70100,20.62400,20.56900,20.52400,20.47400,20.42500,20.37400,本行賣出,21.23000,20.94000,20.94700,20.96200,20.90600,20.86300,20.81800,20.77500,20.73100,""
CAD,本行買入,22.61000,23.01000,22.99800,22.97300,22.93600,22.91200,22.88100,22.84900,22.81700,本行賣出,23.52000,23.21000,23.20500,23.19500,23.15700,23.13600,23.11100,23.08700,23.06300,""
SGD,本行買入,23.84000,24.33000,24.31600,24.28700,24.24500,24.22100,24.18800,24.15500,24.12200,本行賣出,24.75000,24.51000,24.50600,24.49800,24.45700,24.43200,24.40700,24.38100,24.35500,""
CHF,本行買入,35.45000,36.13000,36.13600,36.14700,36.15900,36.20600,36.23700,36.26800,36.29900,本行賣出,36.65000,36.38000,36.40200,36.44500,36.45800,36.50700,36.54900,36.59200,36.63400,""
JPY,本行買入,0.20670,0.21400,0.21400,0.21410,0.21430,0.21440,0.21460,0.21470,0.21490,本行賣出,0.21950,0.21800,0.21810,0.21830,0.21860,0.21880,0.21900,0.21930,0.21950,""
ZAR,本行買入,0.00000,1.74100,1.73800,1.73100,1.72200,1.71300,1.70400,1.69500,1.68600,本行賣出,0.00000,1.82100,1.81800,1.81300,1.80400,1.79500,1.78700,1.77800,1.77000,""
SEK,本行買入,0.00000,3.01000,3.00900,3.00700,3.00300,3.00200,2.99900,2.99700,2.99400,本行賣出,0.00000,3.11000,3.11000,3.11000,3.10700,3.10600,3.10400,3.10200,3.10000,""
NZD,本行買入,18.28000,18.66000,18.62700,18.56200,18.51900,18.48700,18.45300,18.41800,18.38200,本行賣出,19.13000,18.86000,18.86700,18.88200,18.83900,18.80800,18.77800,18.74900,18.71900,""
THB,本行買入,0.84310,0.95650,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,1.03310,0.99650,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,""
PHP,本行買入,0.49790,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.62990,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,""
IDR,本行買入,0.00168,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00238,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,""
EUR,本行買入,33.42000,34.04000,34.02700,34.00100,33.96600,33.93600,33.90800,33.87900,33.83100,本行賣出,34.76000,34.44000,34.43300,34.42000,34.39100,34.37200,34.35600,34.34100,34.32500,""
KRW,本行買入,0.02103,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02493,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,""
VND,本行買入,0.00106,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00147,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,""
MYR,本行買入,6.34900,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.87400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,""
CNY,本行買入,4.39900,4.47100,4.46970,4.46700,4.46500,4.45860,4.45460,4.44920,4.44660,本行賣出,4.56100,4.52100,4.52030,4.51900,4.51760,4.51250,4.51050,4.50840,4.50630,
