imdbID,imdbRating,data_created_time,data_updateded_time
tt21867370,6.6,2025-02-21,2025-02-21
tt17494686,6.1,2025-02-21,2025-02-21
tt13721828,6.3,2025-02-21,2025-02-21
tt15838850,7.0,2025-02-21,2025-02-21
tt20168564,6.3,2025-02-21,2025-02-21
tt15575470,6.0,2025-02-21,2025-02-21
tt22191360,N/A,2025-02-21,2025-02-21
tt12477480,7.3,2025-02-21,2025-02-21
tt16529222,6.4,2025-02-21,2025-02-21
tt13182834,6.6,2025-02-21,2025-02-21
tt19383926,N/A,2025-02-21,2025-02-21
tt21279122,6.7,2025-02-21,2025-02-21
tt14140954,6.5,2025-02-21,2025-02-21
tt21109538,6.6,2025-02-21,2025-02-21
tt23871504,6.7,2025-02-21,2025-02-21
tt23849218,N/A,2025-02-21,2025-02-21
tt23157348,N/A,2025-02-21,2025-02-21
tt21263500,4.6,2025-02-21,2025-02-21
tt19713090,6.6,2025-02-21,2025-02-21
tt15108954,6.2,2025-02-21,2025-02-21
tt7282468,7.4,2025-02-21,2025-02-21
tt16755970,6.8,2025-02-21,2025-02-21
tt23746764,6.2,2025-02-21,2025-02-21
tt22872370,6.8,2025-02-21,2025-02-21
tt16676718,6.1,2025-02-21,2025-02-21
tt13236270,6.6,2025-02-21,2025-02-21
tt21632892,5.2,2025-02-21,2025-02-21
tt19849514,6.5,2025-02-21,2025-02-21
tt22048600,5.6,2025-02-21,2025-02-21
tt12663772,6.8,2025-02-21,2025-02-21
tt19632878,5.7,2025-02-21,2025-02-21
tt19245482,5.6,2025-02-21,2025-02-21
tt17491616,6.8,2025-02-21,2025-02-21
tt5213138,6.8,2025-02-21,2025-02-21
tt18372308,6.3,2025-02-21,2025-02-21
tt23813502,N/A,2025-02-21,2025-02-21
tt14371900,7.5,2025-02-21,2025-02-21
tt27553313,6.2,2025-02-21,2025-02-21
tt14035108,6.2,2025-02-21,2025-02-21
tt14425000,5.9,2025-02-21,2025-02-21
tt14776918,7.0,2025-02-21,2025-02-21
tt17146978,6.8,2025-02-21,2025-02-21
tt13705634,7.3,2025-02-21,2025-02-21
tt9602472,6.1,2025-02-21,2025-02-21
tt15575176,N/A,2025-02-21,2025-02-21
tt14773800,5.9,2025-02-21,2025-02-21
tt11792512,6.1,2025-02-21,2025-02-21
tt10231726,3.2,2025-02-21,2025-02-21
tt5790684,6.0,2025-02-21,2025-02-21
tt9409660,N/A,2025-02-21,2025-02-21
tt13846414,7.1,2025-02-21,2025-02-21
tt13087796,7.0,2025-02-21,2025-02-21
tt11080676,6.8,2025-02-21,2025-02-21
tt13021476,5.7,2025-02-21,2025-02-21
tt14463426,6.9,2025-02-21,2025-02-21
tt15041866,5.6,2025-02-21,2025-02-21
tt13350988,6.2,2025-02-21,2025-02-21
tt8129794,6.3,2025-02-21,2025-02-21
tt7904172,5.7,2025-02-21,2025-02-21
tt0130827,7.6,2025-02-21,2025-02-21
tt9110904,6.4,2025-02-21,2025-02-21
tt10791152,6.7,2025-02-21,2025-02-21
tt0156610,7.4,2025-02-21,2025-02-21
tt10072662,5.6,2025-02-21,2025-02-21
