imdbID,imdbRating,Country,data_created_time,data_updateded_time
tt21867370,6.6,South Korea,2025-02-26,2025-02-26
tt17494686,6.1,South Korea,2025-02-26,2025-02-26
tt13721828,6.3,South Korea,2025-02-26,2025-02-26
tt15838850,7.0,South Korea,2025-02-26,2025-02-26
tt20168564,6.3,South Korea,2025-02-26,2025-02-26
tt15575470,6.0,South Korea,2025-02-26,2025-02-26
tt22191360,N/A,N/A,2025-02-26,2025-02-26
tt12477480,7.3,South Korea,2025-02-26,2025-02-26
tt16529222,6.4,South Korea,2025-02-26,2025-02-26
tt13182834,6.6,South Korea,2025-02-26,2025-02-26
tt19383926,N/A,South Korea,2025-02-26,2025-02-26
tt21279122,6.7,South Korea,2025-02-26,2025-02-26
tt14140954,6.5,South Korea,2025-02-26,2025-02-26
tt21109538,6.6,South Korea,2025-02-26,2025-02-26
tt23871504,6.7,South Korea,2025-02-26,2025-02-26
tt23849218,N/A,South Korea,2025-02-26,2025-02-26
tt23157348,N/A,South Korea,2025-02-26,2025-02-26
tt21263500,4.6,South Korea,2025-02-26,2025-02-26
tt19713090,6.6,South Korea,2025-02-26,2025-02-26
tt15108954,6.2,South Korea,2025-02-26,2025-02-26
tt7282468,7.4,"South Korea, Japan",2025-02-26,2025-02-26
tt16755970,6.8,South Korea,2025-02-26,2025-02-26
tt23746764,6.2,South Korea,2025-02-26,2025-02-26
tt22872370,6.8,South Korea,2025-02-26,2025-02-26
tt16676718,6.1,South Korea,2025-02-26,2025-02-26
tt13236270,6.6,South Korea,2025-02-26,2025-02-26
tt21632892,5.2,South Korea,2025-02-26,2025-02-26
tt19849514,6.5,South Korea,2025-02-26,2025-02-26
tt22048600,5.6,South Korea,2025-02-26,2025-02-26
tt12663772,6.8,South Korea,2025-02-26,2025-02-26
tt19632878,5.7,South Korea,2025-02-26,2025-02-26
tt19245482,5.6,South Korea,2025-02-26,2025-02-26
tt17491616,6.8,South Korea,2025-02-26,2025-02-26
tt5213138,6.8,"Singapore, South Korea",2025-02-26,2025-02-26
tt18372308,6.3,South Korea,2025-02-26,2025-02-26
tt23813502,N/A,South Korea,2025-02-26,2025-02-26
tt14371900,7.5,South Korea,2025-02-26,2025-02-26
tt27553313,6.2,South Korea,2025-02-26,2025-02-26
tt14035108,6.2,South Korea,2025-02-26,2025-02-26
tt14425000,5.9,South Korea,2025-02-26,2025-02-26
tt14776918,7.0,South Korea,2025-02-26,2025-02-26
tt17146978,6.8,South Korea,2025-02-26,2025-02-26
tt13705634,7.3,South Korea,2025-02-26,2025-02-26
tt9602472,6.1,Australia,2025-02-26,2025-02-26
tt15575176,N/A,Australia,2025-02-26,2025-02-26
tt14773800,5.9,"France, Morocco",2025-02-26,2025-02-26
tt11792512,6.1,"Germany, Australia",2025-02-26,2025-02-26
tt10231726,3.2,Hong Kong,2025-02-26,2025-02-26
tt5790684,6.0,"Germany, Australia, Belgium, India, Italy",2025-02-26,2025-02-26
tt9409660,N/A,Germany,2025-02-26,2025-02-26
tt13846414,7.1,Germany,2025-02-26,2025-02-26
tt13087796,7.0,Germany,2025-02-26,2025-02-26
tt11080676,6.8,Germany,2025-02-26,2025-02-26
tt13021476,5.7,Germany,2025-02-26,2025-02-26
tt14463426,6.9,"Germany, Iraq, Qatar",2025-02-26,2025-02-26
tt15041866,5.6,Israel,2025-02-26,2025-02-26
tt13350988,6.2,"Brazil, Argentina",2025-02-26,2025-02-26
tt8129794,6.3,Germany,2025-02-26,2025-02-26
tt7904172,5.7,"Germany, Italy, Denmark",2025-02-26,2025-02-26
tt0130827,7.6,Germany,2025-02-26,2025-02-26
tt9110904,6.4,"Italy, France",2025-02-26,2025-02-26
tt10791152,6.7,Italy,2025-02-26,2025-02-26
tt0156610,7.4,"Taiwan, France",2025-02-26,2025-02-26
tt10072662,5.6,"Italy, France, United States",2025-02-26,2025-02-26
tt13091090,N/A,"Italy, Argentina",2025-02-26,2025-02-26
tt8550054,6.3,"Sweden, Netherlands, France, United States, Denmark",2025-02-26,2025-02-26
tt10851414,7.0,"Norway, Germany",2025-02-26,2025-02-26
tt11409736,6.6,Switzerland,2025-02-26,2025-02-26
tt11967484,6.0,Switzerland,2025-02-26,2025-02-26
tt14775784,7.5,"Austria, Germany",2025-02-26,2025-02-26
tt13017046,4.0,Vietnam,2025-02-26,2025-02-26
tt17785786,4.2,Vietnam,2025-02-26,2025-02-26
tt14134154,4.5,Vietnam,2025-02-26,2025-02-26
tt15839780,7.5,Vietnam,2025-02-26,2025-02-26
tt9415108,6.6,"Slovakia, Czech Republic, Poland, Germany",2025-02-26,2025-02-26
tt3804810,6.7,"Czech Republic, France, Poland, Slovakia",2025-02-26,2025-02-26
tt13479414,6.4,Czech Republic,2025-02-26,2025-02-26
tt14760842,N/A,"Hong Kong, Malaysia",2025-02-26,2025-02-26
tt11238518,4.4,"Ukraine, Cyprus",2025-02-26,2025-02-26
tt16315948,6.9,"Ukraine, Turkey",2025-02-26,2025-02-26
tt14296268,6.7,Thailand,2025-02-26,2025-02-26
tt19328882,4.7,Thailand,2025-02-26,2025-02-26
tt18259846,4.5,Thailand,2025-02-26,2025-02-26
tt22479478,4.4,Thailand,2025-02-26,2025-02-26
tt19072268,5.1,Thailand,2025-02-26,2025-02-26
tt19357986,6.5,Thailand,2025-02-26,2025-02-26
tt8399288,6.4,"Colombia, Thailand, France, Germany, Mexico, Qatar, United Kingdom, China, United States, Switzerland, Taiwan, Japan, Netherlands, Hong Kong",2025-02-26,2025-02-26
tt1588895,6.7,"Thailand, United Kingdom, France, Germany, Spain, Netherlands",2025-02-26,2025-02-26
tt21243636,4.0,Thailand,2025-02-26,2025-02-26
tt4028464,7.0,"Norway, Sweden, Denmark, Finland, France, United Kingdom",2025-02-26,2025-02-26
tt13821562,7.2,Norway,2025-02-26,2025-02-26
tt8856814,N/A,China,2025-02-26,2025-02-26
tt15010590,7.0,Hong Kong,2025-02-26,2025-02-26
tt8165192,6.5,"Hong Kong, China",2025-02-26,2025-02-26
tt10283270,6.2,"Hong Kong, China",2025-02-26,2025-02-26
tt10117402,6.4,"Hong Kong, China",2025-02-26,2025-02-26
tt0118845,7.7,"Hong Kong, South Korea, Japan",2025-02-26,2025-02-26
tt0101258,7.4,Hong Kong,2025-02-26,2025-02-26
tt0093258,7.3,Hong Kong,2025-02-26,2025-02-26
tt21187542,6.9,Hong Kong,2025-02-26,2025-02-26
tt14032696,7.1,"Hong Kong, China",2025-02-26,2025-02-26
tt6419442,5.9,China,2025-02-26,2025-02-26
tt10423286,5.0,Hong Kong,2025-02-26,2025-02-26
tt0102816,7.4,Hong Kong,2025-02-26,2025-02-26
tt0092263,7.4,Hong Kong,2025-02-26,2025-02-26
tt17044664,5.9,"Hong Kong, China",2025-02-26,2025-02-26
tt15244854,6.5,Hong Kong,2025-02-26,2025-02-26
tt4431104,6.3,"Hong Kong, China",2025-02-26,2025-02-26
tt15282802,7.1,Hong Kong,2025-02-26,2025-02-26
tt18500636,5.2,"Hong Kong, China",2025-02-26,2025-02-26
tt0093426,7.5,Hong Kong,2025-02-26,2025-02-26
tt10687168,6.1,"Hong Kong, China",2025-02-26,2025-02-26
tt21867590,7.2,Hong Kong,2025-02-26,2025-02-26
tt0168496,6.7,Hong Kong,2025-02-26,2025-02-26
tt15619584,6.0,Hong Kong,2025-02-26,2025-02-26
tt0338564,8.0,Hong Kong,2025-02-26,2025-02-26
tt0095533,6.3,"Hong Kong, Taiwan",2025-02-26,2025-02-26
tt0156587,7.3,"Taiwan, Japan",2025-02-26,2025-02-26
tt0369060,7.2,"Hong Kong, Singapore, China",2025-02-26,2025-02-26
tt0374339,6.8,"Hong Kong, China, Taiwan",2025-02-26,2025-02-26
tt0115832,6.8,"United Kingdom, Spain, Germany",2025-02-26,2025-02-26
tt15049118,8.5,Hong Kong,2025-02-26,2025-02-26
