,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,origin_country,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
0,False,/wuOQJ9z4mFMGGplm1gUJaK2JjdF.jpg,,18052672,"[{'id': 28, 'name': '动作'}, {'id': 18, 'name': '剧情'}, {'id': 53, 'name': '惊悚'}]",,626872,tt11535228,['KR'],ko,비상선언,資深刑警仁浩（宋康昊飾）收到了有男子要對飛機進行恐怖攻擊的情報，在進行調查時，得知嫌犯搭乘了KI501班機。在赫（李炳憲 飾）即使有飛行恐懼症，為了讓女兒接受治療仍一起搭機前往夏威夷，但一名四處走動、口出惡言的怪人讓在赫感到十分在意。KI501班機從仁川機場出發前往夏威夷的途中，有名男子因不明原因死亡，讓機艙內的乘客陷入恐懼中。,20.679,/8T0sSD9Bc1eJQpF7mhwkcMPDyzU.jpg,"[{'id': 63014, 'logo_path': '/fw6qEw1GXCKf6n51zwN7nJTG42S.png', 'name': 'CJeS Studios', 'origin_country': 'KR'}, {'id': 138367, 'logo_path': '/tUukjOHjznIX0jH0vR8pfqGIeb.png', 'name': 'MAGNUM9', 'origin_country': 'KR'}, {'id': 112926, 'logo_path': None, 'name': 'Cine Joo', 'origin_country': 'KR'}, {'id': 103323, 'logo_path': '/6erRU1smLcM353NKVldsYyAFh56.png', 'name': 'Dexter Studios', 'origin_country': 'KR'}, {'id': 3491, 'logo_path': '/hXRKXi3M9qfP4Npi1kjAaH4eGnM.png', 'name': 'Showbox', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-08-03,19200000,140,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,緊急迫降,False,7.5,366
1,False,/xov3ufX4ZRyw2pSF3XLNjtvZPw4.jpg,"{'id': 736824, 'name': '機密同盟（系列）', 'poster_path': '/qBQYaVOvLAbl16nNsFiLrQ4q8JI.jpg', 'backdrop_path': '/AwABOlAYcdfbWjcJInNO3vA8VJs.jpg'}",0,"[{'id': 28, 'name': '动作'}, {'id': 35, 'name': '喜剧'}]",,736820,tt21867370,['KR'],ko,공조 2: 인터내셔날,為了追捕藏匿在南韓的國際犯罪組織，北韓刑警任鐵零（玄彬 飾）投入新的共同搜查任務。而南韓刑警姜鎮泰（柳海真 飾）則在搜查中因發生失誤而被調至網路搜查隊，為了回到廣域搜查隊，鎮泰自願擔任鐵零的夥伴。再次遇見鐵零的敏英（林允兒 飾）又重燃對他的愛意。然而，鐵零與鎮泰對彼此心存懷疑，但仍展開十分像樣的搜查行動。就在他們終於找到犯罪組織首腦張明俊（陳善圭 飾）的藏身之處時，來自美國的FBI探員傑克（丹尼爾．海尼）突然出現在他們面前……！依舊令人辛酸的南韓刑警；一樣傑出的北韓刑警；來自FBI的美國刑警，因各自的目的而團結一心的他們，將展開刺激的共同搜查行動！,6.724,/gYvjRdmrrihGpfBwlfsNnYLIbyT.jpg,"[{'id': 10955, 'logo_path': '/7uRzBHgr2ypR31zmdkbvuvk7ney.png', 'name': 'JK Film', 'origin_country': 'KR'}, {'id': 7036, 'logo_path': '/javbyY0ZCvlFJtly3tpZqf2NwLX.png', 'name': 'CJ Entertainment', 'origin_country': 'KR'}, {'id': 128404, 'logo_path': '/dP3usmr6di1jMPH738rvbxdkmSQ.png', 'name': 'CJ ENM', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-09-07,0,129,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,機密同盟2,False,7.0,54
2,False,/vW016VDPIzzEgDzrC19xJ7pAoqg.jpg,,8500000,"[{'id': 28, 'name': '动作'}, {'id': 18, 'name': '剧情'}, {'id': 53, 'name': '惊悚'}]",,774548,tt17494686,['KR'],ko,데시벨,水煮沸的聲音、打開窗戶的聲音、孩子們的笑聲……不久後，傳來了一戶民宅爆炸的新聞快報，此時，看到新聞的前海軍副艦長（金來沅 飾）接到了一通電話，炸彈設計者（李鍾碩 飾）表示只要噪音一變大就會爆炸，他的下個目標是足球場……為了阻止不斷在市中心展開的炸彈恐攻事件，一定要找出握有一切祕密的炸彈設計者！,15.246,/mlmqArnpb6OjhrUm5TsQnbl1Zqy.jpg,"[{'id': 118767, 'logo_path': None, 'name': 'East Dream Synopex', 'origin_country': 'KR'}, {'id': 172538, 'logo_path': '/9W8vEzgSeT1gojBScmD2XJ6WYGD.png', 'name': 'Mindmark', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-11-16,6843970,110,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'english_name': 'Turkish', 'iso_639_1': 'tr', 'name': 'Türkçe'}]",Released,斥資120億重金打造動作災難鉅獻！,音爆浩劫,True,6.667,60
3,False,/eHK0Tagwl5kPhpIKstBeG045aLt.jpg,,0,"[{'id': 35, 'name': '喜剧'}]",,821153,tt21800888,['KR'],ko,육사오,即將退伍的南韓兵長千禹（高庚杓飾演），某天意外在緊繃的南北韓軍事線附近，撿到一張飄向自己的頭獎彩券，之後卻一個不小心，讓這張彩券乘風飄向無法涉足的北韓…。,6.157,/5zeMXNIa0dxV3cBXg9F9NLBd2K9.jpg,"[{'id': 3657, 'logo_path': '/2YXnZa6yPjxdHKzBLgmf57D8QpM.png', 'name': 'Sidus', 'origin_country': 'KR'}, {'id': 70681, 'logo_path': None, 'name': 'TPS Company', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-08-24,0,113,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,樂透大作戰,False,6.7,39
4,False,/iryef4LKiPQkvhNJS1EtLlay3br.jpg,"{'id': 619533, 'name': '魔女（系列）', 'poster_path': '/xMAbXfcIuciIJ2BjrCrkwx96goh.jpg', 'backdrop_path': '/qq1N4JTE1nh09PcEEMwDjqbCuFj.jpg'}",0,"[{'id': 28, 'name': '动作'}, {'id': 9648, 'name': '悬疑'}, {'id': 53, 'name': '惊悚'}, {'id': 878, 'name': '科幻'}]",,615173,tt13721828,['KR'],ko,마녀 2,一名少女獨自倖存於被毀滅的祕密研究所，對於外面的世界感到陌生的少女，偶然遇見慶熙和大吉這對姊弟，和他們成為朋友。就在少女漸漸適應溫暖的日常生活時，各懷鬼胎的勢力開始追查少女的行蹤……。,90.74,/6COthWNPkc0RrZBK2QtO5zWlfcA.jpg,"[{'id': 10924, 'logo_path': '/1zHPlgqjPzxyDc3ov3hIhnUpQJK.png', 'name': 'Peppermint & Company', 'origin_country': 'KR'}, {'id': 20064, 'logo_path': '/2In7Heq6DuXDjOwPmJqHWkpohaL.png', 'name': 'Next Entertainment World', 'origin_country': 'KR'}, {'id': 106996, 'logo_path': '/stmGVs6UmgfqE9BYNB5lXjy5gQm.png', 'name': 'Studio & New', 'origin_country': 'KR'}, {'id': 128397, 'logo_path': '/wWFYPyArqOGiev5l7OufQTJXgQ8.png', 'name': 'Goldmoon Film', 'origin_country': 'KR'}, {'id': 73918, 'logo_path': '/lnHDA1Fnpdjbg6fUF4gpneeAdf1.png', 'name': 'Contents Panda', 'origin_country': 'KR'}, {'id': 103747, 'logo_path': None, 'name': 'Warner Bros. Korea', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-06-15,23068596,138,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Hindi', 'iso_639_1': 'hi', 'name': 'हिन्दी'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,超人體的「魔女」也是有感情的,魔女二部曲：另一個她,False,7.3,334
5,False,/dom8lzl2iU46nDu6s4lBolBNjQs.jpg,,0,"[{'id': 18, 'name': '剧情'}, {'id': 35, 'name': '喜剧'}, {'id': 80, 'name': '犯罪'}]",,736732,tt13056052,['KR'],ko,브로커,經營著洗衣店的相鉉（宋康昊 飾）總是為債務所苦，而育幼院出身的東秀（姜棟元 飾）則在管理嬰兒保護艙的機構工作。在某個下著暴雨的夜晚，他們倆偷偷帶走了保護艙中的嬰兒。沒想到隔天，孩子的母親素英（李知恩 飾）卻回來尋找兒子的下落。素英得知孩子消失後打算報警，相鉉和東秀便向素英說出實話，他們表示這一切都是為了要幫孩子找到適合成長的家庭，才會這麼做，而素英為了替兒子找到新父母，決定和相鉉、東秀同行。另一方面，看著這一切的刑警秀珍（裴斗娜 飾）和她的下屬李刑警（李周映 飾），在這半年來持續進行搜查，為了獲得能結案的關鍵證據，她們小心翼翼地跟在相鉉他們身後……因為嬰兒保護艙而意外遇見彼此的他們，將踏上一段出乎意料的旅程。,19.605,/vAVcC1katFIbHFdFZ271DBgxAbQ.jpg,"[{'id': 85150, 'logo_path': '/dXGvoNR0ni359HmKefOAIMY7WcE.png', 'name': 'Zip Cinema', 'origin_country': 'KR'}, {'id': 7036, 'logo_path': '/javbyY0ZCvlFJtly3tpZqf2NwLX.png', 'name': 'CJ Entertainment', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-06-08,18632208,129,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,嬰兒轉運站,False,7.2,465
6,False,/jwtsNew0oMC11Nns3QrFzKKAONc.jpg,"{'id': 619802, 'name': '犯罪都市（系列）', 'poster_path': '/is27CMmGW9peeVl9r7ph0r4XHox.jpg', 'backdrop_path': '/ra2aSkkwOQRoymeg5p19PfnC9r9.jpg'}",7600000,"[{'id': 28, 'name': '动作'}, {'id': 80, 'name': '犯罪'}, {'id': 53, 'name': '惊悚'}, {'id': 12, 'name': '冒险'}]",,619803,tt15838850,['KR'],ko,범죄도시 2,掃蕩加里峰洞任務後過了4年，衿川刑警隊前往越南引渡逃走的嫌犯。「怪物刑警」馬錫道（馬東石 飾）和全日萬組長（崔貴化 飾）發現在當地的嫌犯十分可疑，得知其背後有個凶惡殘暴的主使者姜海相（孫錫求 飾）。馬錫道和衿川刑警隊奔走於韓國和越南兩地，開始緝捕史上最壞的傢伙姜海相……,46.46,/euH65NAl9VmN89O9UlpqXHsD31x.jpg,"[{'id': 84678, 'logo_path': '/8pjrX8L669kQUdCqCCpv3uWOSBC.png', 'name': 'BA Entertainment', 'origin_country': 'KR'}, {'id': 96989, 'logo_path': None, 'name': 'Hong Film', 'origin_country': 'KR'}, {'id': 129217, 'logo_path': '/s5rN5NUfE9yx21Yh0CuLULAGH5Y.png', 'name': 'Big Punch Pictures', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-05-18,101166707,106,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Released,追捕壞傢伙沒有國界！,犯罪都市2,False,7.2,324
7,False,/7ZP8HtgOIDaBs12krXgUIygqEsy.jpg,"{'id': 1000386, 'name': '外星+人 (系列)', 'poster_path': '/pgZnsOvROwMAkqOBnh9fvhjDaul.jpg', 'backdrop_path': '/tySCSCVveLrYl4RpTQIQXMMYcF6.jpg'}",24500000,"[{'id': 878, 'name': '科幻'}, {'id': 28, 'name': '动作'}, {'id': 14, 'name': '奇幻'}, {'id': 12, 'name': '冒险'}]",,601796,tt20168564,['KR'],ko,외계+인 1부,在高麗末期的道士們為了傳說中神劍在時間之門打開後，與外星人出沒的2021年，展開的異想天開故事。,69.555,/hSb1ky8t1sb96gJtoqaBuT4Xln6.jpg,"[{'id': 118358, 'logo_path': '/57u7ny0hdDRaDdwdrNTTj9np6Cx.png', 'name': 'Caper Film', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-07-20,12109608,142,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,多年來，外星人一直將他們的囚犯關在人類體內。,外星+人,False,6.8,452
8,False,/xkXsV1WOiKfAJ6dzXiavdwsZ3E2.jpg,,9000000,"[{'id': 28, 'name': '动作'}, {'id': 53, 'name': '惊悚'}, {'id': 27, 'name': '恐怖'}, {'id': 80, 'name': '犯罪'}]",,799379,tt15575470,['KR'],ko,늑대사냥,逃至東南亞的國際通緝犯們，將被集中於一艘監獄船。罪大惡極的他們，和資深刑警們聚集於菲律賓馬尼拉港，渴望逃脫的宗斗（徐仁國 飾），和必須返韓的道日（張東潤 飾）等人，他們各有目的，抱持戒心搭上這艘船。在前往韓國的途中，在太平洋上的他們遭遇前所未見的極端狀況，究竟在這海上煉獄裡，誰能活到最後呢？,52.346,/9leS9LRYZOmh0h3jWIP8S8HkNip.jpg,"[{'id': 113586, 'logo_path': '/1ttGM0XnnO82aKJwWp4iBrveK7G.png', 'name': 'The Contents On', 'origin_country': 'KR'}, {'id': 162275, 'logo_path': None, 'name': 'Contents G', 'origin_country': 'KR'}, {'id': 162276, 'logo_path': None, 'name': 'Cheum Film', 'origin_country': ''}, {'id': 11590, 'logo_path': '/7OOrgnVw0RAX3tq8ikWUmNud8qT.png', 'name': 'Finecut', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-09-21,20541,122,"[{'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}]",Released,,行動代號：狼狩獵,False,6.4,367
9,False,/8voS6nJU5DdKSfFsKIMTTlDssM9.jpg,,17000000,"[{'id': 28, 'name': '动作'}, {'id': 9648, 'name': '悬疑'}, {'id': 18, 'name': '剧情'}]",,727340,tt6931658,['KR'],ko,헌트,本片是李政宰轉型導演的處女作。劇情講述南韓中央情報（KCIA）的海外組組長朴平浩（李政宰 飾）和國內組組長金正道（鄭雨盛 飾）都接到上級指示，要找出一個臥底在情報部深處的北韓間諜。當這個間諜開始洩露可能危及國家安全的最高機密時，兩位組長分別被指派互相調查對方，在這緊迫的狀況下他們若找不出這名臥底，自己可能就會遭到指控。,16.891,/ONUDlPIhPyxadmAp5eukjtyXH5.jpg,"[{'id': 27133, 'logo_path': '/2hAfEWVO5JGBzHFjPHWFwPU9r55.png', 'name': 'Sanai Pictures', 'origin_country': 'KR'}, {'id': 213755, 'logo_path': '/k6PPL4oCQ3ijzzL8OaBcmBcuvAU.png', 'name': 'Artist Studio', 'origin_country': 'KR'}]","[{'iso_3166_1': 'KR', 'name': 'South Korea'}]",2022-08-10,25994,131,"[{'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Portuguese', 'iso_639_1': 'pt', 'name': 'Português'}, {'english_name': 'Korean', 'iso_639_1': 'ko', 'name': '한국어/조선말'}]",Released,,獵首密令,False,6.7,172
